會員編號,姓名,電子郵件,地址,密碼,電話,縣市代碼
17670-51384-MA,Aloisia Allner,aallner0@lulu.com,新北市板橋區文化路一段24巷20號,fca857bf,0967013402,C002
73342-18763-UW,Piotr Bote,pbote1@yelp.com,台北市中山區民權西路171號,de29efb2,0924252928,C001
21125-22134-PX,Jami Redholes,jredholes2@tmall.com,彰化縣彰化市公園路一段287號,2b2d1ec4,0933167639,C012
71253-00052-RN,Dene Azema,dazema3@facebook.com,新北市新店區碧潭路55號,e08d3d5c,0906940354,C002
23806-46781-OU,Christoffer O' Shea,,彰化縣鹿港鎮鹿工南一路32巷25號,db271b3b,0987507079,C012
86561-91660-RB,Beryle Cottier,,新北市瑞芳區一坑路71號,4bc7ef5b,0910654649,C002
65223-29612-CB,Shaylynn Lobe,slobe6@nifty.com,高雄市前鎮區草衙二路172巷3號7樓,ed8a1152,0989847028,C006
21134-81676-FR,Melvin Wharfe,,新北市永和區水源街154號,f5896664,0907699031,C002
03396-68805-ZC,Guthrey Petracci,gpetracci8@livejournal.com,台中市大肚區遊園路二段94巷10號,58aee2de,0985242635,C001
61021-27840-ZN,Rodger Raven,rraven9@ed.gov,新北市樹林區大成路5號,f67d6a0b,0931168470,C002
76239-90137-UQ,Ferrell Ferber,fferbera@businesswire.com,彰化縣員林市員水路二段289號,6b22c509,0964854429,C012
49315-21985-BB,Duky Phizackerly,dphizackerlyb@utexas.edu,屏東縣內埔鄉壽比路29巷29號,e0dd8af2,0917814030,C016
34136-36674-OM,Rosaleen Scholar,rscholarc@nyu.edu,新北市新店區北宜路一段158號,67b86ed1,0941633098,C002
39396-12890-PE,Terence Vanyutin,tvanyutind@wix.com,新北市板橋區龍泉街138號,cbc8c7fc,0962445847,C002
95875-73336-RG,Patrice Trobe,ptrobee@wunderground.com,南投縣草屯鎮芬草路160巷10號,a70fceef,0950330287,C013
25473-43727-BY,Llywellyn Oscroft,loscroftf@ebay.co.uk,台北市中山區合江街231號,41bb6739,0919089392,C001
99643-51048-IQ,Minni Alabaster,malabasterg@hexun.com,台中市清水區高美路220號,d301ae33,0931339014,C001
62173-15287-CU,Rhianon Broxup,rbroxuph@jimdo.com,新北市新店區德正街116巷8號,fdab2fc0,0994743724,C002
57611-05522-ST,Pall Redford,predfordi@ow.ly,台北市北投區振華街89巷22號,26bb57e8,0987156973,C001
76664-37050-DT,Aurea Corradino,acorradinoj@harvard.edu,屏東縣萬巒鄉萬德路191號,52e468a6,0946715270,C016
84565-53984-SX,Kendal Scardefield,,新北市樹林區後站街183巷7號6樓,48b5f61f,0996296244,C002
03090-88267-BQ,Avrit Davidowsky,adavidowskyl@netvibes.com,桃園市八德區廣興路106巷22號,8982153f,0915104718,C003
37651-47492-NC,Annabel Antuk,aantukm@kickstarter.com,台北市南港區舊莊街一段175巷17號5樓,502fa0cf,0995948922,C001
95399-57205-HI,Iorgo Kleinert,ikleinertn@timesonline.co.uk,新北市淡水區淡金路5段240號,629609bf,0994806238,C002
24010-66714-HW,Chrisy Blofeld,cblofeldo@amazon.co.uk,台中市太平區樹孝路133巷29號3樓,ad1150a7,0961830247,C001
07591-92789-UA,Culley Farris,,高雄市鳳山區經武路104號,e31871e6,0938354975,C006
49231-44455-IC,Selene Shales,sshalesq@umich.edu,新北市五股區成泰路一段87巷14號,25cf425d,0971460204,C002
50124-88608-EO,Vivie Danneil,vdanneilr@mtv.com,桃園市龍潭區百年路192號,d364354b,0976676779,C003
00888-74814-UZ,Theresita Newbury,tnewburys@usda.gov,高雄市楠梓區海專路155巷19號,e4641c77,0932647295,C006
14158-30713-OB,Mozelle Calcutt,mcalcuttt@baidu.com,桃園市楊梅區獅二路46巷13號,6542fd73,0988843952,C003
51427-89175-QJ,Adrian Swaine,,苗栗縣竹南鎮永貞路二段97巷28號,b6186b95,0962165533,C011
52082-49024-ON,Ray Leivesley,rleivesleyv@canalblog.com,台北市大安區濟南路三段57巷16號,35cda8d0,0978698829,C001
04540-43685-DV,Nelly Basezzi,nbasezziw@webeden.co.uk,桃園市中壢區吉林路32巷5號7樓,bba82549,0948157559,C003
39123-12846-YJ,Gallard Gatheral,ggatheralx@123-reg.co.uk,台北市萬華區和平西路三段32號,951a16ee,0994713541,C001
