訂單編號,會員編號,貨運公司編號,訂單日期,付款日期,送貨地址,Status
QEV-37451-860,17670-51384-MA,D004,2022-12-29 02:01:17.347725,2022-12-31 02:01:17.347725,新北市板橋區文化路一段24巷20號,Shipped
FAA-43335-268,21125-22134-PX,D001,2024-10-10 02:01:17.347725,2024-10-12 02:01:17.347725,彰化縣彰化市公園路一段287號,Shipped
KAC-83089-793,23806-46781-OU,D005,2024-11-07 02:01:17.347725,2024-11-09 02:01:17.347725,彰化縣鹿港鎮鹿工南一路32巷25號,Shipped
CVP-18956-553,86561-91660-RB,D002,2024-11-27 02:01:17.347725,2024-11-29 02:01:17.347725,新北市瑞芳區一坑路71號,Shipped
IPP-31994-879,65223-29612-CB,D005,2025-05-16 02:01:17.347725,2025-05-18 02:01:17.347725,高雄市前鎮區草衙二路172巷3號7樓,Shipped
SNZ-65340-705,21134-81676-FR,D003,2025-09-12 02:01:17.347725,2025-09-15 02:01:17.347725,新北市永和區水源街154號,Shipped
EZT-46571-659,03396-68805-ZC,D002,2022-04-27 02:01:17.347725,2022-04-29 02:01:17.347725,台中市大肚區遊園路二段94巷10號,Shipped
NWQ-70061-912,61021-27840-ZN,D004,2022-12-29 02:01:17.347725,2022-12-30 02:01:17.347725,新北市樹林區大成路5號,Shipped
BKK-47233-845,76239-90137-UQ,D001,2024-07-01 02:01:17.347725,2024-07-04 02:01:17.347725,彰化縣員林市員水路二段289號,Shipped
VQR-01002-970,49315-21985-BB,D004,2024-02-21 02:01:17.347725,2024-02-22 02:01:17.347725,屏東縣內埔鄉壽比路29巷29號,Shipped
SZW-48378-399,34136-36674-OM,D003,2025-10-25 02:01:17.347725,2025-10-27 02:01:17.347725,新北市新店區北宜路一段158號,Shipped
ITA-87418-783,39396-12890-PE,D003,2023-09-15 02:01:17.347725,2023-09-18 02:01:17.347725,新北市板橋區龍泉街138號,Shipped
GNZ-46006-527,95875-73336-RG,D001,2025-07-29 02:01:17.347725,2025-07-30 02:01:17.347725,南投縣草屯鎮芬草路160巷10號,Shipped
FYQ-78248-319,25473-43727-BY,D004,2025-09-30 02:01:17.347725,2025-10-02 02:01:17.347725,台北市中山區合江街231號,Shipped
VAU-44387-624,99643-51048-IQ,D005,2022-07-13 02:01:17.347725,2022-07-14 02:01:17.347725,台中市清水區高美路220號,Shipped
RDW-33155-159,62173-15287-CU,D003,2023-02-11 02:01:17.347725,2023-02-12 02:01:17.347725,新北市新店區德正街116巷8號,Shipped
TDZ-59011-211,57611-05522-ST,D002,2022-10-06 02:01:17.347725,2022-10-09 02:01:17.347725,台北市北投區振華街89巷22號,Shipped
IDU-25793-399,76664-37050-DT,D002,2024-03-29 02:01:17.347725,2024-04-01 02:01:17.347725,屏東縣萬巒鄉萬德路191號,Shipped
NUO-20013-488,03090-88267-BQ,D003,2024-03-29 02:01:17.347725,2024-03-30 02:01:17.347725,桃園市八德區廣興路106巷22號,Shipped
UQU-65630-479,37651-47492-NC,D003,2024-05-17 02:01:17.347725,2024-05-20 02:01:17.347725,台北市南港區舊莊街一段175巷17號5樓,Shipped
FEO-11834-332,95399-57205-HI,D003,2025-06-06 02:01:17.347725,2025-06-07 02:01:17.347725,新北市淡水區淡金路5段240號,Shipped
TKY-71558-096,24010-66714-HW,D004,2025-01-08 02:01:17.347725,2025-01-11 02:01:17.347725,台中市太平區樹孝路133巷29號3樓,Shipped
OXY-65322-253,07591-92789-UA,D002,2024-02-17 02:01:17.347725,2024-02-20 02:01:17.347725,高雄市鳳山區經武路104號,Shipped
EVP-43500-491,49231-44455-IC,D002,2022-06-15 02:01:17.347725,2022-06-18 02:01:17.347725,新北市五股區成泰路一段87巷14號,Shipped
WAG-26945-689,50124-88608-EO,D001,2023-01-31 02:01:17.347725,2023-02-01 02:01:17.347725,桃園市龍潭區百年路192號,Shipped
